id,webTitle,sectionName,webUrl,text,publicationDate,sentiment,subjectivity
world/2001/jun/22/usa.saudiarabia,Iranians 'plotted' US bomb attack,World news,https://www.theguardian.com/world/2001/jun/22/usa.saudiarabia,"Fourteen men - 13 Saudis and one Lebanese - were indicted by the US government in their absence yesterday with the terrorist bombing at an American military base in Saudi Arabia which killed 19 servicemen in 1996. The truck bomb, which injured more than 300 others, exploded outside Khobar Towers, an apartment block in Dharan where the servicemen were living. The list of thse charged - announced by the US attorney general, John Ashcroft, and the FBI director, Louis Freeh - includes the leader of Saudi Hizbullah and prominent members of Hizbullah's military wing. Mr Ashcroft said the indictment explained that members of the Iranian government ""inspired, supported and supervised"" members of Saudi Hizbullah, and that the terror ists ""reported surveillance activities to Iranian officials"". The indictment list is more significant for the names it omits than those it includes. Although Mr Ashcroft said Iranians were behind the conspiracy, and warned that more indictments were possible, the omission of Iranians from the list represented a climbdown by the FBI and, in particular, its outgoing director, Mr Freeh, who has made the investigation a personal crusade. For years the bureau's agents privately insisted that they had enough information to indict senior members of Iranian intelligence, and possibly even the country's spiritual leader, Ayatollah Ali Khamenei. In a list of suspects Mr Freeh handed to the White House recnetly, there were reported to be several high-ranking Iranian officials. Brigadier Ahmad Sherifi, a senior officer in the Revolutionary Guard, was a leading suspect. Ahmed Vahidi, the head of the Guard's al-Quds (Jerusalem) force - responsible for covert external operations, has also been frequently mentioned. New Yorker magazine recently quoted prosecution witnesses as saying Brig Sherifi had recruited them as terrorists, saying he was acting on behalf of Ayatollah Khamenei. As the head of the special operations committee of the Tehran government, would have had direct command of all al-Quds operations. The charges, announced a few days before the fifth anniversary of the bombing, are the culmination of an FBI investigation which was continually muddied by foreign policy manoeuvring and Washington intrigue. In the New Yorker, Mr Freeh blamed the Clinton administration for putting the brakes on the investigation in the interests of rapprochement with the reformist government of Mohammad Khatami in Iran. Outgoing officials from the Clinton administration, said Mr Freeh, never had the conclusive proof necessary to press charges against Iranian officials. The Bush administration is similarly reluctant to jeopardise relations with Iran. The president and the vice-president are closely linked with the oil industry which has lobbied for years for the easing of sanctions against Iran to enable US corporations to bid for oil deals. The Saudi government has also played a role in holding back charges against Iranian officials, in its anxiety to foster better relations with the unpredictable Islamic regime. In April Riyadh signed a security agreement with Tehran to combat terrorism and crime. It excluded extradition clause. Several of the suspects from Saudi Hizbullah named yesterday live or have spent time in Iran.",2001-06-22T00:48:37Z,"{'polarity': 0.04889842300556587, 'subjectivity': 0.3874330035044321}",0.3874330035044321
world/2001/jun/11/spain,Car bomb hits Spanish city,World news,https://www.theguardian.com/world/2001/jun/11/spain,"A car bomb blamed on the Basque separatist group Eta exploded yesterday in the capital of Spain's Rioja wine-producing region, injuring several people. The blast occurred 45 minutes after police received the first of four telephone calls warning that a bomb would go off in the city of Logrono, about 160 miles north of Madrid, the news agency Efe said. Efe said that the caller claimed to speak on behalf of Eta, which has claimed the killings of 800 people since it launched its violent campaign for Basque independence in 1968. The bombing comes just two days before the US president, George Bush, is scheduled to arrive in Madrid at the start of a European tour. The attack coincided with festivities in Logrono in honour of Saint Bernabe, patron saint of the city. Windows in offices, shops and cars shattered and several people were injured by flying glass, Efe said. The explosive was located in a white Fiat, reports said.",2001-06-11T01:48:47Z,"{'polarity': -0.09166666666666667, 'subjectivity': 0.2222222222222222}",0.2222222222222222
uk/2001/jun/01/race.world1,Councillor's home suffers petrol bomb attack,World news,https://www.theguardian.com/uk/2001/jun/01/race.world1,"The home of an Asian councillor was today petrol bombed in what is believed to have been a racially motivated attack. The device was thrown at Riaz Ahmad's house on Denton Lane, Chadderton, Oldham, in the early hours of this morning. No one was injured but the house was extensively damaged. A spokeswoman for Greater Manchester police said: ""At 0335 hours this morning, what is believed to be a petrol bomb was thrown at an address on Denton Lane in Chadderton. ""Extensive damage was caused but there were no injuries. The matter is being treated as racially motivated and arson."" Police are appealing for witnesses to the attack. The incident follows a weekend of race riots in Oldham which were the worst Britain has seen for 15 years. Richard Knowles, leader of Oldham council, has written to the prime minister asking for urgent help in dealing with the aftermath of the clashes. The letter, also signed by chief executive Andrew Kilburn and Greater Manchester police chief constable David Wilmot, said there should be an early, ""wide-ranging review"" of the circumstances surrounding the disturbances. Related articles 30.05.2001: Far right aims to gain foothold in Oldham BNP denies stirring racial tension 29.05.2001: White extremists to blame - Blair 29.05.2001: 'Evil racists' blamed for Oldham violence 28.05.2001: Race fears in Oldham and Aylesbury 28.05.2001: 'This has been building up for years' Comment and analysis 29.05.2001, Minette Marrin: View from the right 29.05.2001, Lee Jasper: Brickbats for Oldham 28.05.2001, leader: When frustration erupts Audio report 29.05.2001: Extremists 'found fertile ground' Talk about it Who's to blame? Useful links Oldham Evening Chronicle Greater Manchester police Commission for Racial Equality Institute of Race Relations Campaign Against Racism and Fascism Oldham metropolitan borough council Br-Asian, British Asian e-zine BNP campaign for boycott of Asian businesses in Oldham",2001-06-01T16:10:06Z,"{'polarity': 0.05857142857142857, 'subjectivity': 0.3869047619047619}",0.3869047619047619
world/2001/jun/25/israel,Phone bomb kills man wanted by Israel,World news,https://www.theguardian.com/world/2001/jun/25/israel,"A Palestinian wanted by the Israelis in connection with bomb attacks was killed yesterday when a booby-trapped telephone exploded in a square in Nablus, on the Israeli-occupied West Bank. The Palestinians have blamed Israel for the death of Osama Jawabri but the army, in line with its usual policy on intelligence matters, has refused to comment. Mr Jawabri, 29, had gone to use a public phone near his home in the centre of Nablus. ""I heard a big explosion and I thought we were being shelled,"" said Bilal Iran, the owner of a nearby shoe shop. ""I found a man's body on the ground, with cuts all over his body."" A boy of four and his two-year-old sister were slightly injured by flying fragments from the explosion. According to Palestinians in Nablus, Mr Jawabri was a member of the al-Aqsa Martyrs Brigade, a group that has claimed responsibility for the killings of Jewish settlers. The blast appears to mark a return by Israel to its assassination policy, which it had stopped after international pressure. It came just hours before the prime minister, Ariel Sharon, left for Washington to discuss the ceasefire with President George Bush. Mr Sharon stopped off in London last night to discuss the European Union's position - which Israelis claim is too pro-Palestinian - with the prime minister, Tony Blair. Marwan Barghouti, a prominent member of Yasser Arafat's Fatah movement and one of the leaders of the intifada, threatened vengeance for the killing. ""With this assassination, Sharon has opened the gates of hell for the Israelis,"" he said yesterday. The Israeli army is believed to have been responsible for a similar booby-trapped telephone explosion that killed a Palestinian in April. Israel last week handed the Palestinian Authority a list of about a dozen Palestinians it wanted arrested or re-arrested. The Palestinian Authority has refused to act on its demands. The killing yesterday follows the deaths of two Israeli soldiers, Aviv Izak and Ophir Kit, both 19, at the hands of a suicide bomber, Ismail Maoussabie, 27, in Gaza on Friday. Those killings ended a rare 36 hours in which no Palestinian shots were fired. Since a US-sponsored ceasefire began on June 13, eight Palestinians and six Israelis have been killed. Israeli diplomats said Mr Sharon will be exploring with Mr Bush how to move beyond that ceasefire.",2001-06-25T01:18:57Z,"{'polarity': 0.004629629629629632, 'subjectivity': 0.22037037037037036}",0.22037037037037036
world/2001/apr/08/saudiarabia,Saudi bomb case Briton 'tortured',World news,https://www.theguardian.com/world/2001/apr/08/saudiarabia,"A British man who confessed on television to a spate of bombings in Saudi Arabia has been rushed to hospital amid claims of psychological torture. Sandy Mitchell, from Kirkintilloch in Scotland, confessed in February to the bombings, in which one man was killed and five others injured. Last week, a prominent Saudi dissident said Mitchell and two other westerners who had confessed were innocent of the offences and that the Saudi government knew the bombs were planted by Islamic militants. Dr Saad al-Fagih, director of the Movement for Islamic Reform, who made the claims, said his sources in Saudi Arabia had informed him that Mitchell had been moved to the security forces hospital in central Riyadh. The Foreign Office later confirmed that Mitchell had been taken into hospital for 'a check up' and that the Saudi government said his health was fine. The Foreign Office said that the British embassy in Riyadh was making further inquiries over the weekend. Dr al-Fagih, whose movement campaigns for the peaceful reform of Saudi Arabia, said that a second British prisoner, Gary O'Nions (also known as Gary Dixon) had also been admitted to hospital. O'Nions, who is in prison on alcohol charges, was extradited from the United Arab Emirates last month. Al-Fagih says his sources believe Mitchell's co-accused, Belgian Raaf Schifte, has been admitted to the Prince Sultan Centre, a Riyadh cardiac clinic. It is already known that the third man who confessed, Scots-Canadian William Sampson, is being treated after a heart attack. Sources in Saudi Arabia described Mitchell as looking 'very, very frightened' when he was transferred to hospital and 'almost like a refugee fleeing a war'.",2001-04-08T01:08:44Z,"{'polarity': 0.07734848484848485, 'subjectivity': 0.25901515151515153}",0.25901515151515153
world/2001/may/25/israel4,Sharon calls for ceasefire after suicide bomb,World news,https://www.theguardian.com/world/2001/may/25/israel4,"The Israeli prime minister, Ariel Sharon, has again called for a Palestinian ceasefire, in a move dismissed by Palestinians as a propaganda ploy, coming just hours after three people were killed by a car bomb Mr Sharon told a news conference: ""I repeat a call and hope that the head of the Palestinian authority [Yasser Arafat] and the Palestinian authority will finally instruct and call for a ceasfire,"" Mr Sharon first called for a truce on Tuesday night, in the wake of the publication of the US-led Mitchell report into the violence which urged both sides to end hostilities and called on the Israeli's to halt settlement of disputed areas. The car exploded today shortly before 2pm local time (11.00am GMT) near a bus in the main bus station of the central Israeli town of Hadera, just north of Tel Aviv. It follows an earlier explosion today in Gaza, when a truck was blown up by Israeli forces, killing the driver. Hamas later claimed responsiblity for that attempted suicide bomb. Up to 39 people were injured in today's explosion, on a day when Israel is already grieving 21 wedding guests killed when a building collapsed last night. Police suspect that all of the dead in the blast were Palestinian suicide bombers who set off a device in the car. Lebanese television has reported that the Palestinian Islamic Jihad claimed responsibility for the bombing. The Hadera police chief, Dudu Harel, told Israel Radio: ""We have three bodies which we believe are apparently the terrorists. But I emphasise it is only a first estimate."" The explosion came a week after a suicide bombing at a shopping mall in the northern coastal town of Netanya. In that blast, five Israelis and the assailant were killed. Palestinian Islamic militant groups have carried out car bombings against Israeli targets in the West Bank and Gaza Strip and in Israel with greater frequency since the start of a Palestinian uprising in September. Wedding building collapse 25.05.2001: 21 dead in Israel disaster Related stories 25.05.2001: Israel says Palestinian had traces of explosives 24.05.2001: Tanks roll despite Sharon's ceasefire 21.05.2001: Israel pounds Gaza 18.05.2001: Suicide bomber kills four in Israeli mall Interactive Map of Israel The Arab-Israeli conflict - a brief history Glossary A dictionary of Israeli and Palestinian terms The issue explained The Middle East crisis Useful links The Mitchell Report Jersualem Post Office of Ariel Sharon, Israeli Prime Minister Peacewatch Member countries of the Arab League Palestine Times Jordan Times Israeli government Palestinian national authority",2001-05-25T15:50:10Z,"{'polarity': 0.021527777777777774, 'subjectivity': 0.2916666666666667}",0.2916666666666667
world/2001/apr/06/israel,Israeli phone bomb kills militant,World news,https://www.theguardian.com/world/2001/apr/06/israel,"Israel stepped up reprisals against the Palestinians yesterday by assassinating a commander of the militant Islamic Jihad group with an explosive device planted in a public phone box. Islamic Jihad, which has been responsible for many bombings in Israel, threatened to avenge his death. A similar Israeli booby trap in 1996 was followed by a wave of suicide bombings. The killing in the West Bank town of Jenin came only hours after Israeli soldiers shot up a convoy carrying a senior Palestinian negotiator, Mohammed Dahlan, back from peace talks. He escaped injury, but one of his bodyguards was shot in the leg and two others were injured when their vehicle overturned. Mr Dahlan, a member of the inner circle of the Palestinian leader, Yasser Arafat, is the most senior Palestinian yet to be on the receiving end of Israeli fire. The Palestinians claimed it was a botched assassination attempt while the Israelis insisted the Palestinians opened fire first. The Israeli army promised an investigation. After a relatively quiet Wednesday that saw political initiatives from both sides, the hardline Israeli prime minister, Ariel Sharon, resorted to the iron fist yesterday. In addition to the violence that also saw the Israelis kill Ahmed Mahmoud al-Atar, a 15-year-old Palestinian who was throwing stones, the Israeli government threatened to add to the already deteriorating situation by inviting tenders for 700 new houses for Jewish settlers in the predominantly Palestinian West Bank. Israeli peace campaigners condemned the announcement, while the United States called the move provocative and inflammatory. Using language much stronger than in previous statements on Jewish settlements, state department spokesman Richard Boucher said: ""Continuing settlement activity by Israel does risk further inflaming an already volatile situation in the region. ""This is provocative and we have consistently encouraged both sides to refrain from provocative acts."" The Islamic Jihad commander, Iyad al-Hardan, 25, was killed instantly when the phone exploded after he inserted a phone card. He had been released from a Palestinian Authority prison after the uprising began in September, but was re-arrested by Palestinian police six weeks ago. He was regularly allowed out to make calls. A Palestinian Authority source said: ""Israel is responsible for this assassination operation by putting explosive materials inside the telephone."" Israeli officials declined to comment but Israeli radio reported that Mr Hardan had been liquidated by the Israeli security forces and that he was responsible for a series of attacks on Israelis. The shooting incident involving Mr Dahlan, who is head of security in Gaza, took place at the Israel-Gaza border as he was returning from talks in Tel Aviv with Israeli security chiefs about renewing joint security arrangements which were ended by the Palestinian uprising. ""This Israeli ambush was another assassination attack against us,"" Mr Dahlan said. Nerves tend to be fraught at the border, especially in the darkness, and soldiers, police and security men on both sides are trigger-happy. An Israeli army spokesman, Lieutenant Olivier Rafowicz, said, following a preliminary investigation, that the Palestinians ""opened fire from the first Jeep, from the back right-hand window and then Israeli soldiers fired back at the source from the Jeep"". He said: ""This [assassination] allegation is childish and baseless. We were sitting with him and other security people to try to resume peace talks. There is no logic [in trying to assassinate him]."" Related articles 05.04.2001: Peres tables peace plan with Palestinians in Athens 04.04.2001: Gaza hit by Israeli backlash 03.04.2001: Israeli helicopter gunships kill Islamic militant in Gaza 02.04.2001: Israelis vow vengeance at baby's funeral 30.3.2001: Arafat defies pressure to call off Palestinian uprising Bomber 'driven mad' by Israelis shelling 29.03.2001: Israelis blast Arafat's HQ 29.03.2001: Comment: Talk of war Useful links Member countries of the Arab League Palestine Times Jordan Times Israeli government Palestinian National Authority",2001-04-06T01:36:23Z,"{'polarity': 0.05059687786960514, 'subjectivity': 0.3446404605495515}",0.3446404605495515
world/2001/mar/28/israel6,Second suicide bomb hits Israel,World news,https://www.theguardian.com/world/2001/mar/28/israel6,"A second Palestinian suicide bomber attacked Israel this morning, killing two teenagers in the north of the country one day after a Palestinian man blew himself up outside a bus in Jerusalem. This morning's explosion happened as a group of Israeli teenagers were waiting for a ride to school. The bomber and two students were killed and four people were hurt, one critically. The Islamic militant group Hamas claimed responsibility for the blast, and said seven more bombers were ready to strike. Two further bombs were discovered and safely exploded in the Israeli towns of Netanya and Petah Tikvah. The Israeli prime minister, Ariel Sharon, called for an emergency session of his security cabinet this afternoon and has vowed to avenge the recent killings. Police have said they expected an increase in the pace of bombings during the Arab League summit which was to conclude in Jordan later today, but the Israeli government has been reluctant to respond during the summit. However, Israel's police commissioner said little more could be done to prevent suicide attacks. ""We are faced with a very big offensive of the terrorist organisations to carry out attacks,"" said the police commissioner, Shlomo Aharonishki. ""The last few days show that in spite of all our stepped-up efforts ... they succeeded in getting in."" Today's blast went off shortly after 7.30am (5.30am GMT) in the parking lot of a gas station. ""I saw three young fellows lying on the ground. They looked in really bad shape,"" said a customer at the station, who was only identified by his first name, Maoz. ""Another was wounded, but was still standing up."" White plastic bags covered the three bodies lying on the ground near the gas pumps. Troops sealed off the area, searching for additional explosives. Earlier this month, four people, including a Palestinian suicide bomber, were killed in a blast in Netanya. Yesterday, Palestinian militants carried out back-to-back attacks in Jerusalem, including a bombing near a bus that killed the assailant and injured more than two dozen by-standers. In a phone call to a Western news agency, Hamas claimed responsibility for today's blast and yesterday's suicide bombing in Jerusalem. In the West Bank town of Hebron, an 11-year-old Palestinian boy, Mahmoud Darawish, was killed in an exchange of fire yesterday with Israeli forces at a refugee camp. Seven Palestinian-owned cars and five Palestinian shops were torched yesterday in Hebron's Abu Sneineh neighbourhood, apparently by Jewish settlers avenging the killing of a 10-month-old Israeli girl earlier this week by Palestinian snipers. Related special reports Israel and the Middle East Related articles 28.03.2001: Israel vows to avenge killing of baby 27.03.2001: Palestinian suicide bomber attacks Jerusalem 27.03.2001: Baby's death stokes West Bank tensions 26.03.2001: 'Twin fireballs' turn up heat on Arab talks Useful links Member countries of the Arab League Palestine Times Jordan Times Israeli government Palestinian National Authority",2001-03-28T10:29:24Z,"{'polarity': 0.038368725868725875, 'subjectivity': 0.3018404118404119}",0.3018404118404119
world/2001/jun/02/israel1,Suicide bomb massacre at Israeli disco,World news,https://www.theguardian.com/world/2001/jun/02/israel1,"At least 17 people were killed and scores wounded last night when a suicide bomber infiltrated a popular beach-front disco in Tel Aviv and blew himself up in the middle of the crowds waiting to get in. Israeli television said 17 people, many of them 16-year-olds, had been killed and 85 injured, seven critically, in the explosion at the Dolphinarium, inflicting the heaviest toll on Israelis in five years. Officials called it one of the most inhuman attacks in Israel's history. After the last major suicide bomb attack in Netanya, Israel responded with F-16 fighter aircraft. At the least Israel's hardline prime minister, Ariel Sharon, is expected to abandon the self-imposed ceasefire which Israelis say has operated over the past two weeks to help talks get under way. The Israel security cabinet will go into emergency session today as the national unity government came under enormous pressure to deliver a devastating military response. ""It's impossible to go on with the ceasefire after an attack like this on our children,"" said Roni Milo, former mayor of Tel Aviv. ""We have to strike back very hard so that the terrorists know they cannot succeed."" The Islamic Jihad militant group, which claimed responsibility for the attack, said this would be the first of five such suicide attacks in Israel. This area is almost sacred ground for Tel Avivians who see the beach as a symbol of their secular lifestyle and desire to lead normal lives. As Israeli politicians were rushing to blame Palestinian leader Yasser Arafat, President George Bush urged the Palestinian leader to declare a ceasefire. ""I call upon Chairman Arafat to condemn this act and to call for an immediate ceasefire,"" Mr Bush said. The bomber struck at about 11.45pm local time, as he stood with a group of young people waiting to get into the club. ""I was about to enter, and suddenly I looked in the direction of the blast and saw people thrown backward,"" said Dudi Nachum, 21. ""I saw parts of a brain, things I have never seen before. It was terrible."" Most of the patrons were Russian immigrants. ""The people who got hurt were in essence children. They were aged 16 or 17,"" said Eli Yedid, a bouncer at the club. A radio reporter on the scene described puddles of blood on the pavement. A witness told Reuters: ""I can see dead people, and many wounded people. It's a big mess."" A witness named Avi told the radio: ""I entered a nightclub and suddenly there was a flash and a boom that threw me backward."" As 30 ambulances wailed to the scene, helicopters hovered overhead. Television pictures showed young people staggering into hospital spattered with blood or lying on stretchers. The attack capped a week in which the Palestinian uprising had struck ever more directly at Israeli civilians inside their borders, as well as in the occupied territories. Within the space of 72 hours, four Jewish settlers were killed in the West Bank in drive-by shootings by Palestinian gun men. In Jerusalem there were two car bombs. The stepping up of the attacks by Islamic militant groups has deeply demoralised Israelis and seems aimed at sabotaging whatever faint hopes there are for a genuine ceasefire from the latest bout of US diplomacy. Defence minister, Binyamin Ben-Eliezer, called the blast ""one of the most cruel and inhuman terror attacks that we have witnessed in Israel"". The Palestinian parliament's Speaker, Ahmed Qureia, said: ""There is no way to put an end to this cycle of violence as long as the Israeli government is not responding to the international community's calls or invitation to put an end to the aggression it is practising.""",2001-06-02T01:52:53Z,"{'polarity': -0.02976190476190476, 'subjectivity': 0.4172619047619048}",0.4172619047619048
world/2001/may/04/michaelhoward.stevenmorris,British woman killed by own bomb,World news,https://www.theguardian.com/world/2001/may/04/michaelhoward.stevenmorris,"A British woman with close ties to the Athens underworld was killed in the Greek capital yesterday when a homemade bomb she was carrying in her BMW accidentally exploded. Detectives believe Susan Aristides, who was brought up in west London but had lived in Athens for 20 years after marrying a Greek Australian, was on her way to plant the device in a revenge attack after a spate of gangland killings. Aristides, 48, whose maiden name was Weymouth, was thrown from the car by the blast, which rocked the southern suburb of Voula in the early hours of the morning. The mother-of-two was wearing black gloves and had cotton wool plugged in her ears. The bomb had been placed near the handbrake and a remote control device was found in a bag. Detectives believe she accidentally set the bomb off when she stopped to check it or to move it. It is also possible that her pet rottweiler, which was in the car, sat on the detonator or bit it. Initially there were fears that the explosion could be connected to the visit of the Pope today, which has led to protests by Greek Orthodox extremists. It was also thought she may have been targeted by the terrorist group November 17, which claimed responsibility for the murder of a British military attache, Brigadier Stephen Saunders, last year. But when police found a stash of bombmaking equipment at her penthouse home they dismissed the idea that terrorists were to blame. Instead, to the amazement of the woman's family and friends in London who had no idea of her connections, police began investigating her links with gangs suspected of running protection rackets in cabaret nightclubs A police source said: ""It looks like she was carrying it somewhere when it went off. But at the moment we don't know why it went off or what the target was going to be."" She was known by police for her friendship with the Grigorakos clan, a leading criminal family in Athens, which runs drugs and extortion rackets in hotels and nightclubs along the capital's south-eastern coast. The gang's ""godfather"" was Vassillis Grigorakos, a kingpin of the capital's cocaine trade. His son Niko ran a private army that carried out murders and beatings. Both were killed last summer in a gangland war, and Aristides was photographed comforting relatives at the scene of Niko's murder. Yesterday British relatives expressed shock at her extraordinary end as they tried to puzzle out how an ordinary girl from a decent west London family had become a friend of a criminal clan. She grew up on the Wesley Estate, north Acton, and attended the local state school, where she was considered a bright girl. When she was 16, however, her mother, Myra Bermingham, emigrated with Susan and her other three children to Australia. Susan got back in touch with her father five years ago and introduced him to her two adult sons, Steven and Paul. She showed him photos of her sumptuous Athens home and said she had married a Greek Australian but had separated from him. She was vague about what she did, telling her father, David, only that she ""ran her own business"". Mr Weymouth said when he heard on the radio that a British woman had been killed in Athens he told his wife: ""I hope that's not Susan. I couldn't believe it when they said her name. I last heard from her when she sent an Easter card. I can't begin to understand what has happened."" Since the collapse of the Soviet bloc, organised crime in the Balkans has flourished and Greece, which boasts the region's most vibrant economy, has been a natural target. Many syndicates with international connections have also been attracted by the potential for profit from the expected business boom ahead of the 2004 Olympic Games. A major crackdown on Athens criminal gangs was announced last summer after a wave of bloodletting among gangland leaders provoked fierce criticism of police, who were accused of being happy to stand by as the godfathers wiped each other out. Five gangland bosses were killed as rivals exploded bombs in homes and cars, with little regard for innocent bystanders. The police were also accused of incompetency and corruption. Now they believe that most of the crime bosses are either dead or in prison. A bill to counter organised crime and terrorism is expected to become law by the end of the month.",2001-05-04T01:16:59Z,"{'polarity': 0.022844827586206894, 'subjectivity': 0.3314655172413793}",0.3314655172413793
